"Taxa"	"Type"	"Auto"	"Varin_Total"
292	2	1	3.9218
293	2	1	45.958
294	2	0	4.1054
295	2	0	42.7574
296	3	0	5.9578
297	1	0	51.9115
298	1	0	52.5049
299	2	0	12.9982
300	3	0	6.788
301	2	0	29.508
302	2	0	32.0551
303	2	1	14.0701
304	2	0	9.3449
305	2	0	30.9872
306	2	1	16.0493
307	2	0	26.3663
308	2	0	1.315
309	2	0	14.3935
310	1	0	50.5613
311	2	0	6.5368
312	3	0	8.4602
313	2	0	11.382
314	2	0	1.4656
315	2	0	11.1335
316	2	1	13.4103
317	2	0	0.7158
318	1	0	11.6051
